Cluster, Domain, Lof, DomianType
Cluster 0, jlmgps.com, 0.8355133411614147, -1
Cluster 0, shuzilm.cn, 0.8355726696325112, -1
Cluster 0, mumakid.com, 0.8356771474780273, -1
Cluster 0, appnxt.net, 0.8358759318226537, -1
Cluster 0, myasiatek.cn, 0.8360220269881179, -1
Cluster 0, abycb.com, 0.8362493537211751, 1
Cluster 0, lixms.com, 0.8362531523826396, -1
Cluster 0, keke.cn, 0.836759161859338, 0
Cluster 0, yichebang.net, 0.8373425022860038, 1
Cluster 0, map10000.com, 0.8374077846095039, 1
Cluster 0, app-measurement.com, 0.8374638998290391, -1
Cluster 0, gpscx.com, 0.8377149232769547, 1
Cluster 0, idatachina.com, 0.8378974619918964, 1
Cluster 0, dato88.com, 0.8380158384222129, 1
